event_id,home_team,away_team,competition,match_time,odds_time,Bet365_over_odds,Bet365_under_odds,Betfair_Exchange_over_odds,Betfair_Exchange_under_odds,Over RPD,Under RPD,bf_team_name_home,bf_team_name_away,bf_merge_key,marketId,line,total_volume,event,kickoff,hours_until_KO
61300797,Aston Villa,Arsenal FC,England - Premier League,2025-12-06 20:30:00+08:00,2025-12-06 21:31:36.992163+08:00,,,1.26,4.81,,,Aston Villa,Arsenal,Aston Villa v Arsenal,1.251156065,Over/Under 1.5 Goals,354877.6461,Aston Villa v Arsenal,2025-12-06T12:30:00.000Z,-1.0269422675
61300795,AFC Bournemouth,Chelsea FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.2,4.5,1.21,5.4,1.0,18.182,Bournemouth,Chelsea,Bournemouth v Chelsea,1.251156204,Over/Under 1.5 Goals,3393.342624,Bournemouth v Chelsea,2025-12-06T15:00:00.000Z,1.4730577325
61300801,Everton FC,Nottingham Forest,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.363,3.2,1.41,3.3,3.39,3.077,Everton,Nottm Forest,Everton v Nottm Forest,1.251156621,Over/Under 1.5 Goals,3129.25669,Everton v Nottm Forest,2025-12-06T15:00:00.000Z,1.4730577325
61300809,Newcastle United,Burnley FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.2,4.5,1.24,5.0,3.279,10.526,Newcastle,Burnley,Newcastle v Burnley,1.251156482,Over/Under 1.5 Goals,3645.964020000001,Newcastle v Burnley,2025-12-06T15:00:00.000Z,1.4730577325
61300807,Manchester City,Sunderland AFC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.166,5.0,1.18,6.0,1.194,18.182,Man City,Sunderland,Man City v Sunderland,1.251155787,Over/Under 1.5 Goals,13193.2538,Man City v Sunderland,2025-12-06T15:00:00.000Z,1.4730577325
61300811,Tottenham Hotspur,Brentford FC,England - Premier League,2025-12-06 23:00:00+08:00,2025-12-06 21:31:36.992163+08:00,1.285,3.75,1.33,3.9,3.442,3.922,Tottenham,Brentford,Tottenham v Brentford,1.251157038,Over/Under 1.5 Goals,6168.182458,Tottenham v Brentford,2025-12-06T15:00:00.000Z,1.4730577325
61300805,Leeds United,Liverpool FC,England - Premier League,2025-12-07 01:30:00+08:00,2025-12-06 21:31:36.992163+08:00,1.25,4.0,1.28,4.33,2.372,7.923,Leeds,Liverpool,Leeds v Liverpool,1.251156899,Over/Under 1.5 Goals,5116.637364,Leeds v Liverpool,2025-12-06T17:30:00.000Z,3.9730577324999996
61300799,Brighton & Hove Albion,West Ham United,England - Premier League,2025-12-07 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.200,4.500,1.22,5.20,1.653,14.433,Brighton,West Ham,Brighton v West Ham,1.251155926,Over/Under 1.5 Goals,58.667916,Brighton v West Ham,2025-12-07T14:00:00.000Z,24.37347116361111
61300803,Fulham FC,Crystal Palace,England - Premier League,2025-12-08 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.333,3.400,1.38,3.50,3.465,2.899,Fulham,Crystal Palace,Fulham v Crystal Palace,1.251156343,Over/Under 1.5 Goals,58.908852,Fulham v Crystal Palace,2025-12-07T16:30:00.000Z,26.87347116361111
64618978,Wolverhampton Wanderers,Manchester United,England - Premier League,2025-12-09 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.222,4.333,1.25,4.70,2.265,8.126,Wolves,Man Utd,Wolves v Man Utd,1.251156760,Over/Under 1.5 Goals,0.0,Wolves v Man Utd,2025-12-08T20:00:00.000Z,54.37347116361111
61300825,Liverpool FC,Brighton & Hove Albion,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.166,5.000,1.16,3.49,1.0,1.0,Liverpool,Brighton,Liverpool v Brighton,,,,,,169.3734711636111
61300821,Chelsea FC,Everton FC,England - Premier League,2025-12-13 23:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.24,3.01,1.0,1.0,Chelsea,Everton,Chelsea v Everton,,,,,,169.3734711636111
61300819,Burnley FC,Fulham FC,England - Premier League,2025-12-14 01:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.333,3.400,1.29,2.87,1.0,1.0,Burnley,Fulham,Burnley v Fulham,,,,,,171.8734711636111
61300815,Arsenal FC,Wolverhampton Wanderers,England - Premier League,2025-12-14 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.222,4.333,1.19,3.49,1.0,1.0,Arsenal,Wolves,Arsenal v Wolves,,,,,,174.3734711636111
61300829,Nottingham Forest,Tottenham Hotspur,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.25,2.76,1.0,1.0,Nottm Forest,Tottenham,Nottm Forest v Tottenham,,,,,,192.3734711636111
61300823,Crystal Palace,Manchester City,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.222,4.333,1.05,1.26,1.0,1.0,Crystal Palace,Man City,Crystal Palace v Man City,,,,,,192.3734711636111
61300833,West Ham United,Aston Villa,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.250,4.000,1.22,2.98,1.0,1.0,West Ham,Aston Villa,West Ham v Aston Villa,,,,,,192.3734711636111
61300831,Sunderland AFC,Newcastle United,England - Premier League,2025-12-14 22:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.300,3.500,1.27,2.90,1.0,1.0,Sunderland,Newcastle,Sunderland v Newcastle,,,,,,192.3734711636111
61300817,Brentford FC,Leeds United,England - Premier League,2025-12-15 00:30:00+08:00,2025-12-06 21:37:35.503811+08:00,1.285,3.750,1.26,2.66,1.0,1.0,Brentford,Leeds,Brentford v Leeds,,,,,,194.8734711636111
65586346,Manchester United,AFC Bournemouth,England - Premier League,2025-12-16 04:00:00+08:00,2025-12-06 21:37:35.503811+08:00,1.166,5.000,1.16,3.49,1.0,1.0,Man Utd,Bournemouth,Man Utd v Bournemouth,,,,,,222.3734711636111
